epoch,time_completed,log_loss,accuracy,auc,precision,recall,f1
1,2019-04-25 12:01:52,0.647048756785871,0.8442495402461452,0.6061142723449566,0.8053782028478542,0.5690252331326591,0.5802864342135597
2,2019-04-25 12:02:06,0.6091185759698708,0.845805630216438,0.6139031827657863,0.7948472708024121,0.5793120084293778,0.5959147862313748
3,2019-04-25 12:02:19,0.5773369111347306,0.847786108360447,0.6166455504125209,0.8113075160491299,0.5814767967359055,0.5992341539759797
4,2019-04-25 12:02:32,0.5513685862521233,0.8490592728815957,0.6168084591956077,0.8136494472854212,0.5857917855444769,0.6055906644296689
5,2019-04-25 12:02:46,0.5286458668470686,0.849766586504456,0.6369753660142964,0.8167795585794821,0.5875086793946773,0.6081215587279116
6,2019-04-25 12:02:59,0.5097900287638562,0.8494836610553119,0.6474832617158218,0.8115031762446447,0.5883043080229574,0.6091940979466185
7,2019-04-25 12:03:12,0.4932567465253051,0.8499080492290282,0.6766415607526916,0.8119904315033301,0.5898500569133769,0.6114146511349459
8,2019-04-25 12:03:25,0.4793559374330674,0.8508982883010326,0.6801472405038976,0.820205840350618,0.5907713221352971,0.612867085747872
9,2019-04-25 12:03:39,0.46791131136769504,0.8507568255764606,0.680418685344268,0.819786042099959,0.5903634917927197,0.612276430900723
10,2019-04-25 12:03:52,0.458012167515605,0.8513226764747489,0.6811672002499332,0.8223582934740777,0.5916725553003427,0.6141911950238139
11,2019-04-25 12:04:06,0.44840352570914466,0.851464139199321,0.7009193667133943,0.8236869059930073,0.5917581277802331,0.6143362808683736
12,2019-04-25 12:04:19,0.44097596379954773,0.8523129155467535,0.7111694282055269,0.8308533784781386,0.592593820522263,0.6156541929527364
13,2019-04-25 12:04:33,0.4344860946972749,0.8500495119536002,0.714983475996012,0.8263891111267567,0.5854240193156491,0.6051934974112811
14,2019-04-25 12:04:46,0.4288037091215356,0.8523129155467535,0.716942848471938,0.8338769323112452,0.5916270469342019,0.6143164613112173
15,2019-04-25 12:04:59,0.4237800663120255,0.8521714528221813,0.716765072691937,0.8334917985934613,0.5912192165916244,0.6137228156785416
16,2019-04-25 12:05:13,0.419447757753764,0.8520299900976093,0.7184962053560835,0.8331044462468662,0.5908113862490468,0.6131284395912756
17,2019-04-25 12:05:26,0.41497309345523814,0.8523129155467535,0.7221854541302192,0.8349142927952284,0.5913047890715148,0.6138681557679654
18,2019-04-25 12:05:40,0.41166115995596114,0.8521714528221813,0.7240251228516492,0.8334917985934613,0.5912192165916244,0.6137228156785416
19,2019-04-25 12:05:53,0.40932905074371817,0.8521714528221813,0.7252935638606618,0.834530736721615,0.5908969587289373,0.6132734780417897
20,2019-04-25 12:06:07,0.4066437012147728,0.8524543782713255,0.7260075287030758,0.835295648712374,0.5917126194140924,0.614462102155712
