epoch,time_completed,log_loss,accuracy,precision,recall,f1
1,2019-04-23 14:57:42,2.6981269239047103,0.6476163530909606,0.6476163530909606,0.6476163530909606,0.6476163530909606
2,2019-04-23 14:58:11,2.4162466942058254,0.6580845947092941,0.6580845947092941,0.6580845947092941,0.6580845947092941
3,2019-04-23 14:58:39,2.2103783031015185,0.6640260291413213,0.6640260291413213,0.6640260291413213,0.6640260291413213
4,2019-04-23 14:59:08,2.0522853890880532,0.6705333144716368,0.6705333144716368,0.6705333144716368,0.6705333144716368
5,2019-04-23 14:59:37,1.921749512837958,0.6699674635733485,0.6699674635733485,0.6699674635733485,0.6699674635733485
6,2019-04-23 15:00:06,1.81411707536185,0.6737869571367945,0.6737869571367945,0.6737869571367945,0.6737869571367945
7,2019-04-23 15:00:34,1.7208528519519941,0.6756259725562315,0.6756259725562315,0.6756259725562315,0.6756259725562315
8,2019-04-23 15:01:02,1.6393417943601545,0.676757674352808,0.676757674352808,0.676757674352808,0.676757674352808
9,2019-04-23 15:01:30,1.5676358613338544,0.6794454661196775,0.6794454661196775,0.6794454661196775,0.6794454661196775
10,2019-04-23 15:01:59,1.5047295986130478,0.6805771679162541,0.6805771679162541,0.6805771679162541,0.6805771679162541
11,2019-04-23 15:02:28,1.44844671472125,0.6824161833356911,0.6824161833356911,0.6824161833356911,0.6824161833356911
12,2019-04-23 15:02:57,1.398678672391263,0.6846795869288442,0.6846795869288442,0.6846795869288442,0.6846795869288442
13,2019-04-23 15:03:26,1.354048568716918,0.6859527514499929,0.6859527514499929,0.6859527514499929,0.6859527514499929
14,2019-04-23 15:03:55,1.3132603483247967,0.6872259159711416,0.6872259159711416,0.6872259159711416,0.6872259159711416
15,2019-04-23 15:04:24,1.2762672084235187,0.6887820059414345,0.6887820059414345,0.6887820059414345,0.6887820059414345
16,2019-04-23 15:04:52,1.2430137846413891,0.6914697977083039,0.6914697977083039,0.6914697977083039,0.6914697977083039
17,2019-04-23 15:05:21,1.212229072474273,0.6916112604328759,0.6916112604328759,0.6916112604328759,0.6916112604328759
18,2019-04-23 15:05:50,1.1839508981815337,0.6937332013014571,0.6937332013014571,0.6937332013014571,0.6937332013014571
19,2019-04-23 15:06:19,1.1586655848226786,0.6938746640260292,0.6938746640260292,0.6938746640260292,0.6938746640260292
20,2019-04-23 15:06:48,1.1344996739338573,0.6947234403734616,0.6947234403734616,0.6947234403734616,0.6947234403734616
